date,Open,High,Low,Close,Volume,mean_volume
2017-11-26,0.000732,0.0009,0.00035,0.000528,794869.29475162,794869.29475162
2017-11-27,0.000529,0.00056,0.00044126,0.00049,76453.50998488,76453.50998488
2017-11-28,0.00049,0.00049,0.000427,0.00047,93280.31310351,93280.31310351
2017-11-29,0.00035024,0.00035024,0.00035002,0.00035002,56670.60036777,56670.60036777
2017-11-30,0.00052998,0.0005985,0.00051999,0.00054397,72541.64737576,72541.64737576
2017-12-01,0.00061048,0.00061058,0.0005,0.0005615,32361.2776723,32361.2776723
2017-12-02,0.00053979,0.00054095,0.00049099,0.00053766,66967.06757152,66967.06757152
2017-12-03,0.00059,0.0006002,0.0005334,0.0006002,30777.25480857,30777.25480857
2017-12-04,0.00056708,0.000597,0.00055,0.00057268,61741.399965,61741.399965
2017-12-05,0.0006018,0.000729,0.00057001,0.00065587,4327591.10453066,4327591.10453066
2017-12-06,0.00068027,0.00071,0.00061999,0.00067347,960463.51698159,960463.51698159
2017-12-07,0.00065832,0.0007,0.00065,0.00068678,134385.98310094,134385.98310094
2017-12-08,0.00059858,0.000599,0.00059855,0.00059887,472043.52569793,472043.52569793
2017-12-09,0.00059887,0.0007,0.000545,0.00066149,4040474.54839427,4040474.54839427
2017-12-10,0.00057283,0.00061331,0.00056296,0.00060074,219317.63416082,219317.63416082
2017-12-11,0.00060095,0.00067369,0.00058979,0.00063751,5165240.95796606,5165240.95796606
2017-12-12,0.00063659,0.00068,0.00054143,0.00054459,1867568.54695524,1867568.54695524
2017-12-13,0.0005862,0.0005863,0.00047007,0.00048968,2239809.41562536,2239809.41562536
2017-12-14,0.00049594,0.00062,0.00039,0.00058737,2894073.46814246,2894073.46814246
2017-12-15,0.00058735,0.0008666,0.00058709,0.000795,3312063.88758814,3312063.88758814
2017-12-16,0.000795,0.00139999,0.00079001,0.00114726,3770847.1191917,3770847.1191917
2017-12-17,0.00115555,0.00125947,0.00113317,0.00117732,2745402.14511024,2745402.14511024
2017-12-18,0.00118909,0.00119098,0.0010184,0.00110073,8282166.24690469,8282166.24690469
2017-12-19,0.00110632,0.00110635,0.0007605,0.00083002,6317255.64913978,6317255.64913978
2017-12-20,0.00090003,0.000967,0.00078992,0.00091017,2388961.08052761,2388961.08052761
2017-12-21,0.00072391,0.00088997,0.00070507,0.00086723,1673028.6718,1673028.6718
2017-12-22,0.00086727,0.00088998,0.00075212,0.00088333,6640144.0218,6640144.0218
2017-12-23,0.00088333,0.00094998,0.00079994,0.0009192,13063712.36594246,13063712.36594246
2017-12-24,0.00085,0.00091888,0.00075001,0.0009093,1886987.39875838,1886987.39875838
2017-12-25,0.000909,0.000909,0.00070001,0.00078926,2104994.16426311,2104994.16426311
2017-12-26,0.00078929,0.00081464,0.00060003,0.000702,2744777.97775291,2744777.97775291
2017-12-27,0.000702,0.0008,0.00066,0.00075737,12157621.55260162,12157621.55260162
2017-12-28,0.00089495,0.00101,0.00080671,0.00098119,14355800.6177152,14355800.6177152
2017-12-29,0.00098115,0.00099038,0.000845,0.00093185,16930713.61066845,16930713.61066845
2017-12-30,0.00093184,0.00099038,0.00090008,0.00092779,10529869.74749759,10529869.74749759
2017-12-31,0.00092774,0.00109001,0.00089,0.00094754,18384968.80819746,18384968.80819746
2018-01-01,0.00094753,0.00100954,0.000922,0.00094429,14140123.66132973,14140123.66132973
2018-01-02,0.00077924,0.00089586,0.00077915,0.00088564,10780125.96048656,10780125.96048656
2018-01-03,0.00088554,0.000922,0.00065949,0.00069815,10485765.0526951,10485765.0526951
2018-01-04,0.00069815,0.00076,0.00065002,0.00072205,13494416.98781352,13494416.98781352
2018-01-05,0.00072207,0.0009,0.00065102,0.0008571,13305255.57737029,13305255.57737029
2018-01-06,0.00085709,0.0013975,0.00072568,0.0013975,11643501.14814161,11643501.14814161
2018-01-07,0.0013975,0.0035,0.00128874,0.00291624,4850640.60810703,4850640.60810703
2018-01-08,0.00291624,0.0029991,0.0021286,0.0025888,3055443.42632238,3055443.42632238
2018-01-09,0.0025888,0.00261,0.0018969,0.00204992,14825449.13369097,14825449.13369097
2018-01-10,0.00204995,0.00207715,0.00138,0.00179005,12701667.45019393,12701667.45019393
2018-01-11,0.00177,0.002232,0.00151006,0.0019654,15362266.23886234,15362266.23886234
2018-01-12,0.00196,0.0023,0.001822,0.00215,1025753.225498,1025753.225498
2018-01-13,0.00211687,0.002131,0.00202923,0.00207,566279.5641,566279.5641
2018-01-14,0.00175002,0.001899,0.00168001,0.00185764,2964543.1678,2964543.1678
2018-01-15,0.00186137,0.0019199,0.00165001,0.00173102,8648740.3705,8648740.3705
2018-01-16,0.00147431,0.00148325,0.001,0.00142294,6264537.5939,6264537.5939
2018-01-17,0.00142295,0.00146,0.00089988,0.00142376,12838500.1958,12838500.1958
2018-01-18,0.00142379,0.00168888,0.00121003,0.00155163,15644476.0486,15644476.0486
2018-01-19,0.00155163,0.00167005,0.00137,0.0015225,13146746.6097,13146746.6097
2018-01-20,0.00152247,0.00155978,0.001257,0.00135935,6699608.3482,6699608.3482
2018-01-21,0.00135935,0.00140722,0.00110257,0.00124,2566040.0435,2566040.0435
2018-01-22,0.00124,0.001335,0.0011,0.0012096,6438191.8052,6438191.8052
2018-01-23,0.00117984,0.0013,0.00111006,0.00127597,6974489.9441,6974489.9441
2018-01-24,0.00123268,0.00124514,0.0012,0.00122431,3609959.8472,3609959.8472
2018-01-25,0.00122309,0.00124,0.001135,0.00115287,11672766.4982,11672766.4982
2018-01-26,0.00115864,0.00119711,0.0008,0.00111719,11646511.7212,11646511.7212
2018-01-27,0.00112216,0.0012,0.00110721,0.00115987,5565468.87,5565468.87
2018-01-28,0.00115154,0.00156,0.00114132,0.00143276,3246501.1402,3246501.1402
2018-01-29,0.00143608,0.00151424,0.00120005,0.00140389,7833535.7413,7833535.7413
2018-01-30,0.0014039,0.00140631,0.00127,0.00133866,3193293.2979,3193293.2979
2018-01-31,0.00133868,0.00135,0.001251,0.00134947,4232814.233,4232814.233
2018-02-01,0.00134948,0.00134998,0.001173,0.00125528,7714235.7066,7714235.7066
2018-02-02,0.00125525,0.00132,0.00118803,0.00125567,9475284.8867,9475284.8867
2018-02-03,0.00125568,0.00127,0.00118555,0.00119892,10577964.7241,10577964.7241
2018-02-04,0.00119769,0.00124422,0.000783,0.001164,9839083.5557,9839083.5557
2018-02-05,0.0011598,0.00120822,0.000908,0.00097875,9267271.1585,9267271.1585
2018-02-06,0.00097876,0.001,0.000901,0.0009308,8037243.8275,8037243.8275
2018-02-07,0.0009308,0.00097797,0.00083,0.00092512,7709634.6139,7709634.6139
2018-02-08,0.00098523,0.00107,0.0009584,0.00103037,1497485.0362,1497485.0362
2018-02-09,0.00121853,0.00124305,0.001152,0.00118801,1900947.7781,1900947.7781
2018-02-10,0.00110393,0.00110873,0.000955,0.00102464,4401214.9838,4401214.9838
2018-02-11,0.00103003,0.0010893,0.00102035,0.00106001,1524470.4268,1524470.4268
2018-02-12,0.00101949,0.0010205,0.00097001,0.00099024,8253859.4936,8253859.4936
2018-02-13,0.00099024,0.00101281,0.0009,0.00093592,5595551.6483,5595551.6483
