date,Open,High,Low,Close,Volume,mean_volume
2018-09-16,0.4,0.41695392,0.4,0.413,166728.98598168,166728.98598168
2018-09-17,0.41341148,0.44085516,0.39267093,0.41044085,71901.66217558,71901.66217558
2018-09-17,0.41341148,0.44085516,0.39267093,0.41044085,61507.17262678,61507.17262678
2018-09-18,0.41044085,0.41044085,0.36788236,0.384,95452.78520061,95452.78520061
2018-09-18,0.41044085,0.41044085,0.36788236,0.384,82448.80709179,82448.80709179
2018-09-19,0.384,0.38912067,0.36799218,0.383,23186.5245352,23186.5245352
2018-09-19,0.384,0.38912067,0.36799218,0.383,23186.5245352,23186.5245352
2018-09-20,0.383,0.39513746,0.3674856,0.383,23159.08439811,23159.08439811
2018-09-21,0.383,0.4142,0.383,0.40759811,33369.20641236,33369.20641236
2018-09-22,0.40759811,0.42254537,0.40184186,0.415,11185.21284891,11185.21284891
2018-09-23,0.415,0.44592814,0.40184187,0.41000006,9780.0149187,9780.0149187
2018-09-24,0.40878,0.4459,0.40266,0.40472482,8951.24537238,8951.24537238
2018-09-25,0.40472482,0.40472483,0.38325516,0.39,59042.82810225,59042.82810225
2018-09-26,0.39,0.41,0.39,0.402,144426.74375212,144426.74375212
2018-09-27,0.402,0.427581,0.39350399,0.420057,54336.0306136440004790001,54336.0306136440004790001
2018-09-28,0.420057,0.44253,0.40875912,0.41665833,87959.227521456001026,87959.227521456001026
2018-09-29,0.41505849,0.42975702,0.40245975,0.42085791,97879.218229818001172,97879.218229818001172
2018-09-30,0.42165783,0.42165783,0.40795919,0.41325867,90455.232173920000835,90455.232173920000835
2018-10-01,0.41455854,0.41665833,0.39936005,0.40765923,80691.143290090000904,80691.143290090000904
2018-10-02,0.40665933,0.41965803,0.40465953,0.4169583,92310.163522510001184,92310.163522510001184
2018-10-03,0.41815818,0.41955803,0.39312223,0.41245875,96264.127304304001173,96264.127304304001173
2018-10-04,0.41245875,0.41985801,0.39312253,0.4108589,100558.1029310840008623,100558.1029310840008623
2018-10-05,0.41255874,0.438,0.39312229,0.41285871,92041.610839888001099,92041.610839888001099
2018-10-06,0.41195879,0.4159584,0.40603003,0.41185881,92670.5921203780011745,92670.5921203780011745
2018-10-07,0.41185881,0.41485851,0.40835916,0.41115888,94410.849307038000981,94410.849307038000981
2018-10-08,0.40945905,0.41987027,0.40625937,0.41832003,89990.137803050001323,89990.137803050001323
2018-10-09,0.41832003,0.41915805,0.40561853,0.41225877,50251.772110032000521,50251.772110032000521
2018-10-10,0.41265873,0.41865813,0.4070337,0.41145744,44543.3417846060006173,44543.3417846060006173
2018-10-11,0.41145741,0.4141,0.36066393,0.36206379,135719.0534582040027791,135719.0534582040027791
2018-10-12,0.36206379,0.3861,0.35814761,0.36348036,35200.24423113600035,35200.24423113600035
2018-10-13,0.36,0.36349862,0.35666087,0.36071142,1386.97480000000001,1386.97480000000001
2018-10-14,0.36071142,0.36351464,0.34999572,0.35138815,4560.25092780000003,4560.25092780000003
2018-10-15,0.34676238,0.41485851,0.33,0.35234878,11852.5123525480001755,11852.5123525480001755
2018-10-16,0.35603263,0.37316267,0.29941677,0.3568,7711.4097387900000161,7711.4097387900000161
2018-10-17,0.35207552,0.3567,0.35024378,0.35024378,9193.54724000000004,9193.54724000000004
2018-10-18,0.3441,0.35406459,0.3441,0.34921707,13525.363920000000270004,13525.363920000000270004
